Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita,"ВВП на душу населения в ценах и ППС (США) текущего года, долл. США"
Albania,ALB,1995,2.089065,0.161216,1.773376,0.051296,0.103177,0,,0.636064,2785
Albania,ALB,1996,2.017508,0.113584,1.755056,0.043968,0.1049,0,,0.616724,3063
Albania,ALB,1997,1.543009,0.043968,1.41064,0.03664,0.051761,0,,0.474229,2768
Albania,ALB,1998,1.754709,0.054845,1.623405,0.032907,0.043552,0,,0.542888,3095
Albania,ALB,1999,2.986196,0.110056,2.791742,0.029348,0.05505,0,,0.930784,3561
Albania,ALB,2000,3.024926,0.069531,2.839801,0.021957,0.093637,0,,0.95063,3991
Albania,ALB,2001,3.220656,0.080608,3.125392,0.014656,0,0,,1.021259,4451
Albania,ALB,2002,3.748272,0.084272,3.638352,0.025648,0,0,,1.200003,4840
Albania,ALB,2003,4.303499,0.084272,3.891168,0.025648,0.302411,0,,1.391371,5170
Albania,ALB,2004,4.176684,0.084272,3.759264,0.032976,0.300172,0,,1.363761,5596
Albania,ALB,2005,4.261413,0.073216,3.90974,0.021965,0.256492,0,,1.405185,6014
Albania,ALB,2006,3.910715,0.07321,3.539714,0.021963,0.275828,0,,1.302102,6754
Albania,ALB,2007,3.94897,0.07321,3.374978,0.032944,0.467837,0,,1.326901,7585
Albania,ALB,2008,4.397043,0.102592,3.795904,0.014656,0.483891,0,,1.48967,8469
Albania,ALB,2009,4.406552,0.388384,3.414848,0.01832,0.585,0,,1.503665,9026
Albania,ALB,2010,4.783865,0.428688,3.491792,0.025648,0.837737,0,,1.642022,9756
Albania,ALB,2011,5.314676,0.534944,3.77392,0.029312,0.9765,0,,1.832234,10273
Albania,ALB,2012,4.85006,0.626544,3.154704,0.029312,1.0395,0,,1.676949,10464
Albania,ALB,2013,5.287466,0.795088,3.330576,0.032976,1.1286,0.000226,,1.831465,10588
Albania,ALB,2014,5.999658,1.028913,3.855679,0.058586,1.0449,0.011581,,2.080252,11317
Albania,ALB,2015,4.712137,0.322432,3.337904,0.062288,0.954113,0.0354,,1.634751,11747
Albania,ALB,2016,4.631977,0.190528,3.359888,0.161216,0.88047,0.039875,,1.607732,12208
Albania,ALB,2017,5.564149,0.274609,4.078863,0.168427,1.011492,0.030757,,1.932429,13005
Albania,ALB,2018,4.984045,0.472656,3.330576,0.150224,1.016733,0.013856,,1.732368,13697
Albania,ALB,2019,4.947485,0.322432,3.440496,0.131904,1.048179,0.004474,,1.721533,14792
Albania,ALB,2020,4.728559,0.331439,3.217576,0.131178,1.048179,0.000188,,1.649392,14512
Albania,ALB,2021,4.619109,0.174413,3.246273,0.150245,1.048179,0,,1.618066,16127
Andorra,AND,2000,0.523952,0,0.523952,0,0,0,,7.927016,33377
Andorra,AND,2005,0.575248,0,0.575248,0,0,0,,7.206274,43760
Andorra,AND,2009,0.516624,0,0.516624,0,0,0,,6.995396,48467
Andorra,AND,2010,0.516624,0,0.516624,0,0,0,,7.223591,50352
Andorra,AND,2011,0.490976,0,0.490976,0,0,0,,6.957586,51767
Andorra,AND,2012,0.487312,0,0.487312,0,0,0,,6.862293,50119
Andorra,AND,2013,0.47632,0,0.47632,0,0,0,,6.674233,49017
Andorra,AND,2014,0.461664,0,0.461664,0,0,0,,6.445931,50682
Andorra,AND,2015,0.465328,0,0.465328,0,0,0,,6.485769,51046
Andorra,AND,2016,0.468992,0,0.468992,0,0,0,,6.465288,52439
Andorra,AND,2017,0.465328,0,0.465328,0,0,0,,6.302098,52353
Andorra,AND,2018,0.49464,0,0.49464,0,0,0,,6.594057,54509
